Title,Price,Unit Type,Size,Bedrooms,Bathrooms,Date,Location
Apartment in Taman Puchong Indah,RM 97 200,Apartment / Condominium,645 sq.ft.,3 Bedrooms,1 Bathroom,"Today ,19:53",Puchong
"Freehold 3 Bedroom Impiana Apartment 1 (Flat), Cheras",RM 117 000,Apartment / Condominium,657 sq.ft.,3 Bedrooms,1 Bathroom,Yesterday,Cheras
Skylake Residence Serviced Apartment,RM 299 700,Apartment / Condominium,883 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 30, 19:25",Puchong
Skylake Residence Serviced Apartment,RM 299 700,Apartment / Condominium,883 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 30, 19:25",Puchong
Azure Residensi Serviced Apartment,RM 550 800,Apartment / Condominium,1004 sq.ft.,1 Bedroom,2 Bathrooms,"Jun 30, 19:25",Petaling Jaya
Sri Cempaka Apartment - Bandar Puchong Jaya Freehold,RM 180 000,Apartment / Condominium,810 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 30, 19:25",Puchong
Menara Solstice 1,RM 179 000,Apartment / Condominium,450 sq.ft.,1 Bedroom,1 Bathroom,"Jun 30, 16:05",Cyberjaya
The Arc,RM 263 000,Apartment / Condominium,1012 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 30, 15:15",Cyberjaya
Puncak Alam Danau Perintis Kondo Berhampiran UITM [RizalProperties],RM 244 000,Apartment / Condominium,893 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 30, 15:08",Puncak Alam
"BANK LELONG No.2-21-08, Apartment Saujana Permai 2, KAJANG",RM 224 000,Apartment / Condominium,1001 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 29, 15:27",Kajang
"BANK LELONG No.02-24-09, Verdi Residence @ Symphony Hills, CYBERJAYA",RM 360 000,Apartment / Condominium,990 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 29, 15:25",Cyberjaya
"BANK LELONG No.F-1-7, Golden Villa Apartment, Taman Sejahtera, KLANG",RM 128 000,Apartment / Condominium,768 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 29, 15:25",Klang
big size astoria ampang 1464sqft below market Xtreme Meridian,RM 874 800,Apartment / Condominium,1464 sq.ft.,4 Bedrooms,3 Bathrooms,"Jun 29, 12:50",Ampang
"BANK LELONG No.T4-21-11, Lakefront Residence @ CYBERJAYA (Dual-Key)",RM 400 000,Apartment / Condominium,1302 sq.ft.,4 Bedrooms,3 Bathrooms,"Jun 29, 09:05",Cyberjaya
"BANK LELONG No.A-1-6, Casa Ria Apartment, Bandar Country Homes, RAWANG",RM 153 000,Apartment / Condominium,797 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 29, 09:05",Rawang
"BANK LELONG 21-23A, Amcorp Serviced Suite @ Amcorp Mall, Petaling Jaya",RM 270 000,Apartment / Condominium,495 sq.ft.,1 Bedroom,1 Bathroom,"Jun 28, 17:26",Petaling Jaya
Tiara Intan Condominium,RM 240 570,Apartment / Condominium,904 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 28, 17:15",Ampang
i-Soho i-City Shah Alam Seksyen 7,RM 270 000,Apartment / Condominium,466 sq.ft.,1 Bedroom,1 Bathroom,"Jun 27, 22:10",Shah Alam
"BANK LELONG No.D-3-02, Block Delima, Putri Laksamana, Batu Caves",RM 86 400,Apartment / Condominium,650 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 27, 11:29",Gombak
"BANK LELONG No.C-16-03, Level 16, Block C, Cova Suites, Kota Damansara",RM 405 000,Apartment / Condominium,1254 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 27, 11:28",Petaling Jaya
"BANK LELONG : No.1-22, Suria Mewah Residensi, Jalan Dusun, SEMENYIH",RM 224 000,Apartment / Condominium,1001 sq.ft.,4 Bedrooms,2 Bathrooms,"Jun 27, 11:28",Semenyih
3 Room Condominium,RM 526 500,Apartment / Condominium,915 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 26, 17:47",Shah Alam
2 Room Service Apartment,RM 266 100,Apartment / Condominium,1023 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 26, 17:45",Semenyih
3 Room Service Apartment,RM 550 000,Apartment / Condominium,883 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 26, 17:43",Puchong
4 Room Service Apartment,RM 1 215 000,Apartment / Condominium,2034 sq.ft.,4 Bedrooms,1 Bathroom,"Jun 26, 17:41",Subang Jaya
3 Room Apartment,RM 320 000,Apartment / Condominium,990 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 26, 17:26",Kajang
Town House,RM 440 000,Apartment / Condominium,1104 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 26, 17:21",Dengkil
Gugusan Melur sebelah MRT Kota Damansara,RM 225 000,Apartment / Condominium,753 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 26, 15:30",Kota Damansara
"BANK LELONG : No.O-11-23A, D'Aman Residences, Taman Mas, Puchong",RM 324 000,Apartment / Condominium,1076 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 25, 21:10",Puchong
I-Sovo,RM 145 800,Apartment / Condominium,478 sq.ft.,1 Bedroom,1 Bathroom,"Jun 25, 16:45",I-City
"BANK LELONG : No.B3-11-14, Apartment Desa Lembah Permai, AMPANG",RM 130 000,Apartment / Condominium,657 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 25, 13:08",Ampang
"BANK LELONG No.37-2B, Block F, Batu Caves Centrepoint, Batu Caves",RM 126 000,Apartment / Condominium,624 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 24, 21:46",Batu Caves
SELAYANG Residensi 280 (Res 280) [RizalProperties],RM 336 000,Apartment / Condominium,890 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 24, 12:05",Batu Caves
Pandan Ville Condominium,RM 356 400,Apartment / Condominium,1572 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 23, 16:45",Ampang
"Apartment in Taman Putra Perdana, Puchong",RM 120 000,Apartment / Condominium,708 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 23, 13:00",Puchong
"Seri Tijanni Condominium, Kuang, Selangor",RM 675 000,Apartment / Condominium,2135 sq.ft.,4 Bedrooms,4 Bathrooms,"Jun 23, 12:45",Sungai Buloh
Freehold Sri Cempaka Apartment - Bandar Puchong Jaya,RM 180 000,Apartment / Condominium,810 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 23, 12:09",Puchong
Freehold Menara Shaftsbury Service Apartment,RM 405 000,Apartment / Condominium,686 sq.ft.,1 Bedroom,1 Bathroom,"Jun 23, 11:49",Cyberjaya
"BANK LELONG No.28-30-9, The Wharf Residence, Tmn Tasik Prima, PUCHONG",RM 288 000,Apartment / Condominium,795 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 22, 21:05",Puchong
"BANK LELONG No.105, Apartment Danau Pandan, Pandan Perdana, KL",RM 193 000,Apartment / Condominium,829 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 22, 14:05",Cheras
"BANK LELONG No.2-13A04, Block 2, Pandan Ville Condo, Pandan Indah, KL",RM 320 000,Apartment / Condominium,1572 sq.ft.,3 Bedrooms,3 Bathrooms,"Jun 22, 10:10",Ampang
Pangsapuri Angsana Taman Raintree Batu Cave [RizalProperties],RM 230 000,Apartment / Condominium,871 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 21, 13:05",Batu Caves
"BANK LELONG Apartment Taman Desa Serdang, Serdang, Seri Kembangan",RM 108 000,Apartment / Condominium,826 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 21, 11:45",Seri Kembangan
"BANK LELONG BE-B-14, Block BE (Inai Deluxe), BUNGA RAYA @ Pandan Indah",RM 202 000,Apartment / Condominium,883 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 20, 18:49",Ampang
3 Bedroom Radius Apartment,RM 230 400,Apartment / Condominium,915 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 20, 17:10",Batu Caves
"3 Bedroom Apartment in Taman Sentosa, Klang",RM 54 000,Apartment / Condominium,753 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 20, 15:42",Klang
3 Bedroom Flora Damansara Apartment,RM 196 830,Apartment / Condominium,850 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 19, 18:50",Damansara Perdana
3 Bedroom Tropicana Gardens Serviced Apartment,RM 1 300 000,Apartment / Condominium,1273 sq.ft.,3 Bedrooms,3 Bathrooms,"Jun 19, 18:50",Kota Damansara
3 Bedroom Putri Laksamana Apartment,RM 110 000,Apartment / Condominium,650 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 19, 17:25",Gombak
Desaminium Flora Apartment,RM 180 000,Apartment / Condominium,850 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 19, 14:26",Seri Kembangan
Sungai Buloh D’Sara Sentral Kondominium Near MRT [RizalProperties],RM 325 200,Apartment / Condominium,782 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 19, 13:30",Sungai Buloh
Ampang Ukay Perdana Apartment Sri Hijauan [RizalProperties],RM 208 000,Apartment / Condominium,800 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 19, 13:25",Ampang
